id_ticket,id_producto,precio,unidades
301196,33,8.02,1
301196,151,2.52,3
301197,58,6.51,2
301197,41,7.01,3
301198,182,2.78,2
301198,5,11.05,2
301198,116,2.98,1
301199,27,8.33,1
301199,177,2.47,3
301199,77,5.0,1
301200,74,6.0,2
301200,35,8.02,3
301200,65,1.51,2
301201,102,2.98,2
301201,72,8.33,1
301201,165,2.47,1
301202,167,2.27,2
301202,52,8.53,3
301202,10,8.02,2
301203,57,8.53,1
301203,41,7.01,1
301203,149,2.47,1
301204,109,3.48,2
301204,74,6.0,1
301204,110,2.98,2
301205,115,3.78,1
301205,121,6.81,2
301205,82,5.5,3
301206,155,2.78,2
301206,24,8.83,1
301207,15,10.04,2
301207,175,2.78,2
301207,144,0.5,2
301208,124,4.49,1
301208,59,7.01,1
301208,127,2.78,2
301209,46,9.03,1
301209,108,2.78,1
301209,111,2.78,2
301210,29,8.02,1
301210,99,3.28,3
301211,183,3.78,2
301211,26,9.33,1
301211,127,2.78,1
301212,28,9.03,2
301212,170,2.27,2
301213,6,9.03,1
301213,10,8.02,2
301213,63,5.3,1
301214,121,6.81,2
301214,135,9.03,2
301215,124,4.49,1
301215,132,8.53,3
301215,44,4.24,2
301216,130,10.04,2
301216,149,2.47,2
301216,148,2.27,1
301217,124,4.49,1
301217,95,3.28,2
301217,90,2.98,2
301218,140,3.48,2
301218,5,11.05,2
301218,71,5.8,1
301219,10,8.02,1
301219,47,7.01,3
301220,95,3.28,2
301220,2,9.03,3
301220,133,5.0,2
301221,126,2.98,1
301221,99,3.28,1
301222,17,7.62,2
301222,18,10.04,3
301222,104,1.01,1
301223,85,3.48,2
301223,17,7.62,2
301224,39,8.02,1
301224,49,9.54,2
301224,7,12.06,4
301225,21,7.01,1
301225,44,4.24,1
301225,66,2.47,3
301226,115,3.78,1
301226,57,8.53,2
301226,92,2.98,3
301227,146,0.5,2
301227,120,2.98,1
301228,174,2.47,1
301228,99,3.28,2
301228,91,2.98,3
301229,129,10.04,3
301229,84,5.5,3
301229,143,0.5,1
301230,116,2.98,2
301230,38,7.62,2
301230,59,7.01,2
301231,14,9.03,1
301231,45,4.24,2
301231,133,5.0,1
301232,46,9.03,1
301232,121,6.81,3
301233,39,8.02,3
301233,88,2.98,1
301233,54,7.01,1
301234,119,3.99,1
301234,99,3.28,2
301235,169,2.78,1
301235,162,2.27,1
301236,180,2.47,1
301236,147,0.5,2
301236,32,8.02,2
301237,41,7.01,3
301237,50,9.03,1
301238,29,8.02,1
301238,108,2.78,1
301238,76,5.5,1
301239,118,10.04,2
301239,37,8.02,2
301239,138,3.99,2
301240,176,2.27,3
301240,48,12.06,1
301241,38,7.62,1
301241,69,6.51,3
301242,115,3.78,2
301242,11,12.06,2
301242,128,3.48,1
301243,44,4.24,2
301243,34,7.82,3
301243,14,9.03,3
301244,107,2.98,2
301244,48,12.06,2
301244,108,2.78,4
301245,5,11.05,2
301245,64,5.0,1
301246,164,2.27,1
301246,149,2.47,2
301246,12,7.01,2
301247,58,6.51,2
301247,125,3.48,3
301247,6,9.03,2
301248,145,0.5,1
301248,119,3.99,2
301249,44,4.24,3
301249,124,4.49,2
301250,173,2.27,1
301250,75,5.0,1
301251,120,2.98,2
301251,10,8.02,1
301251,96,3.28,1
301252,18,10.04,1
301252,145,0.5,2
301252,168,2.47,1
301253,11,12.06,1
301253,127,2.78,4
301253,66,2.47,3
301254,106,1.01,1
301254,104,1.01,4
301254,165,2.47,1
301255,60,5.5,1
301255,182,2.78,2
301255,125,3.48,3
301256,132,8.53,1
301256,10,8.02,3
301256,42,4.24,1
301257,49,9.54,2
301257,46,9.03,2
301258,170,2.27,2
301258,118,10.04,3
301258,72,8.33,3
301259,166,2.78,2
301259,178,2.78,2
301259,110,2.98,3
301260,8,10.04,3
301260,182,2.78,2
301260,32,8.02,1
301261,23,10.04,1
301261,55,5.5,1
301262,47,7.01,3
301262,135,9.03,1
301262,1,11.05,1
301263,62,7.01,2
301263,10,8.02,2
301263,72,8.33,4
301264,81,5.5,2
301264,90,2.98,4
301264,52,8.53,1
301265,9,10.04,2
301265,113,3.99,2
301266,39,8.02,1
301266,52,8.53,3
301267,172,2.78,2
301267,160,2.27,2
301267,61,5.0,2
301268,140,3.48,1
301268,149,2.47,1
301268,17,7.62,2
301269,167,2.27,1
301269,61,5.0,2
301270,30,9.03,2
301270,26,9.33,2
301270,81,5.5,2
301271,87,2.98,1
301271,139,6.81,2
301272,11,12.06,1
301272,25,9.03,2
301272,132,8.53,1
301273,115,3.78,2
301273,83,3.99,1
301274,61,5.0,1
301274,41,7.01,3
301275,113,3.99,3
301275,12,7.01,1
301275,173,2.27,1
301276,118,10.04,2
301276,113,3.99,2
301277,125,3.48,2
301277,126,2.98,2
301278,161,2.47,1
301278,30,9.03,1
301279,71,5.8,1
301279,128,3.48,2
301280,51,7.01,1
301280,147,0.5,1
301280,16,8.02,1
301281,164,2.27,1
301281,80,5.5,2
301282,130,10.04,2
301282,147,0.5,4
301282,13,11.05,2
301283,148,2.27,2
301283,115,3.78,2
301283,45,4.24,2
301284,46,9.03,2
301284,160,2.27,4
301284,66,2.47,2
301285,110,2.98,1
301285,5,11.05,3
301285,13,11.05,2
301286,132,8.53,2
301286,174,2.47,3
301286,151,2.52,1
301287,181,2.78,2
301287,41,7.01,2
301287,76,5.5,2
301288,126,2.98,1
301288,78,1.21,1
301289,154,2.78,1
301289,58,6.51,1
301290,13,11.05,2
301290,39,8.02,3
301290,26,9.33,2
301291,9,10.04,3
301291,102,2.98,1
301291,26,9.33,1
301292,17,7.62,2
301292,156,1.01,2
301293,134,5.0,2
301293,16,8.02,2
301293,12,7.01,2
301294,174,2.47,2
301294,117,3.99,1
301295,60,5.5,2
301295,44,4.24,1
301295,93,2.98,1
301296,164,2.27,2
301296,146,0.5,2
301297,127,2.78,2
301297,22,6.0,3
301297,76,5.5,1
301298,92,2.98,1
301298,152,2.78,2
301299,170,2.27,2
301299,32,8.02,1
301299,84,5.5,1
301300,42,4.24,1
301300,10,8.02,1
301300,37,8.02,2
301301,82,5.5,1
301301,50,9.03,2
301302,29,8.02,2
301302,119,3.99,3
301303,15,10.04,3
301303,42,4.24,1
301303,117,3.99,3
301304,87,2.98,2
301304,36,8.02,1
301305,23,10.04,2
301305,129,10.04,2
301305,91,2.98,1
301306,37,8.02,3
301306,179,2.27,2
301306,156,1.01,2
301307,11,12.06,1
301307,53,7.01,2
301307,1,11.05,1
301308,111,2.78,2
301308,93,2.98,1
301309,46,9.03,1
301309,60,5.5,1
301309,171,2.47,1
301310,84,5.5,2
301310,20,7.62,1
301310,7,12.06,2
301311,160,2.27,1
301311,128,3.48,2
301311,19,8.02,1
301312,129,10.04,2
301312,153,2.78,1
301313,77,5.0,3
301313,91,2.98,1
301313,137,2.98,1
301314,33,8.02,2
301314,6,9.03,1
301315,126,2.98,2
301315,62,7.01,4
301316,98,3.28,3
301316,85,3.48,2
301317,86,3.99,2
301317,151,2.52,2
301317,72,8.33,4
301318,119,3.99,1
301318,50,9.03,2
301318,169,2.78,2
301319,82,5.5,1
301319,161,2.47,2
301320,35,8.02,1
301320,11,12.06,2
301321,23,10.04,2
301321,177,2.47,2
301322,171,2.47,1
301322,48,12.06,1
301323,39,8.02,2
301323,155,2.78,2
301323,175,2.78,2
301324,37,8.02,3
301324,161,2.47,1
301324,39,8.02,2
301325,181,2.78,2
301325,48,12.06,2
301325,132,8.53,1
301326,51,7.01,2
301326,137,2.98,2
301326,45,4.24,1
301327,148,2.27,2
301327,177,2.47,1
301327,90,2.98,3
301328,131,8.53,2
301328,156,1.01,2
301328,166,2.78,1
301329,120,2.98,1
301329,75,5.0,2
301329,125,3.48,1
301330,70,7.32,1
301330,78,1.21,3
301330,74,6.0,1
301331,44,4.24,1
301331,119,3.99,2
301331,93,2.98,2
301332,152,2.78,1
301332,138,3.99,2
301332,168,2.47,1
301333,46,9.03,2
301333,134,5.0,1
301333,60,5.5,1
301334,92,2.98,1
301334,6,9.03,1
301335,76,5.5,1
301335,29,8.02,2
301336,143,0.5,3
