id_ticket,id_producto,precio,unidades
451740,21,6.58,1
451740,38,7.14,1
451741,4,9.89,3
451741,56,7.99,3
451741,1,10.36,2
451742,133,4.68,1
451742,183,3.55,2
451742,172,2.6,2
451743,105,0.95,2
451743,29,7.52,4
451743,101,2.79,1
451744,83,3.74,1
451744,42,3.97,1
451744,19,7.52,2
451745,122,4.68,2
451745,75,4.68,3
451745,15,9.41,2
451746,73,5.16,1
451746,106,0.95,1
451747,180,2.32,1
451747,55,5.16,1
451747,134,4.68,2
451748,102,2.79,3
451748,102,2.79,3
451748,12,6.58,2
451749,168,2.32,1
451749,50,8.47,1
451749,103,2.79,2
451750,21,6.58,2
451750,173,2.13,3
451751,96,3.07,3
451751,16,7.52,1
451751,151,2.37,1
451752,126,2.79,2
451752,60,5.16,2
451753,163,1.66,3
451753,152,2.6,2
451753,26,8.75,2
451754,6,8.47,1
451754,3,12.25,2
451754,113,3.74,3
451755,21,6.58,1
451755,174,2.32,2
451755,40,5.63,1
451756,32,7.52,1
451756,135,8.47,2
451756,133,4.68,1
451757,172,2.6,1
451757,62,6.58,4
451758,78,1.14,3
451758,42,3.97,1
451759,60,5.16,1
451759,172,2.6,2
451759,104,0.95,2
451760,102,2.79,3
451760,118,9.41,1
451760,68,6.58,2
451761,26,8.75,1
451761,132,7.99,3
451762,158,1.7,2
451762,10,7.52,1
451762,66,2.32,2
451763,136,9.41,1
451763,115,3.55,2
451763,155,2.6,2
451764,68,6.58,2
451764,30,8.47,2
451764,140,3.26,1
451765,65,1.42,1
451765,40,5.63,5
451765,71,5.44,1
451766,126,2.79,1
451766,100,3.07,1
451766,176,2.13,2
451767,145,0.47,1
451767,98,3.07,1
451768,12,6.58,3
451768,60,5.16,1
451768,27,7.81,1
451769,174,2.32,2
451769,3,12.25,1
451770,89,2.79,3
451770,33,7.52,2
451770,50,8.47,1
451771,102,2.79,1
451771,80,5.16,2
451772,140,3.26,3
451772,4,9.89,1
451773,118,9.41,2
451773,25,8.47,2
451773,32,7.52,3
451774,105,0.95,2
451774,27,7.81,1
451774,80,5.16,1
451775,90,2.79,3
451775,89,2.79,3
451775,118,9.41,1
451776,34,7.33,1
451776,79,3.74,2
451776,109,3.26,3
451777,155,2.6,1
451777,30,8.47,1
451778,36,7.52,2
451778,32,7.52,4
451779,147,0.47,2
451779,28,8.47,2
451779,137,2.79,2
451780,3,12.25,3
451780,9,9.41,3
451781,20,7.14,2
451781,108,2.6,1
451782,139,6.39,2
451782,22,5.63,1
451783,74,5.63,2
451783,78,1.14,1
451784,165,2.32,2
451784,78,1.14,1
451784,19,7.52,2
451785,16,7.52,1
451785,151,2.37,1
451786,107,2.79,1
451786,128,3.26,1
451787,23,9.41,1
451787,96,3.07,2
451787,5,10.36,2
451788,6,8.47,2
451788,158,1.7,2
451789,174,2.32,2
451789,39,7.52,1
451790,23,9.41,1
451790,157,0.95,3
451791,139,6.39,1
451791,57,7.99,2
451791,112,3.26,2
451792,111,2.6,1
451792,23,9.41,1
451793,61,4.68,4
451793,164,2.13,1
451793,93,2.79,1
451794,145,0.47,2
451794,134,4.68,2
451794,148,2.13,1
451795,2,8.47,2
451795,40,5.63,1
451796,58,6.1,2
451796,180,2.32,1
451796,129,9.41,1
451797,157,0.95,1
451797,102,2.79,2
451798,77,4.68,2
451798,17,7.14,3
451799,76,5.16,2
451799,90,2.79,2
451799,43,3.97,1
451800,119,3.74,1
451800,18,9.41,2
451800,107,2.79,1
451801,125,3.26,1
451801,118,9.41,2
451801,181,2.6,1
451802,24,8.28,2
451802,173,2.13,2
451802,142,2.6,2
451803,37,7.52,4
451803,87,2.79,2
451803,120,2.79,1
451804,132,7.99,2
451804,129,9.41,2
451804,35,7.52,1
451805,163,1.66,1
451805,164,2.13,1
451805,124,4.21,1
451806,109,3.26,2
451806,16,7.52,1
451806,97,3.07,1
451807,65,1.42,1
451807,119,3.74,1
451808,11,11.31,1
451808,140,3.26,3
451809,50,8.47,2
451809,20,7.14,1
451809,26,8.75,2
451810,152,2.6,1
451810,67,7.52,2
451810,80,5.16,2
451811,129,9.41,2
451811,44,3.97,3
451812,132,7.99,2
451812,24,8.28,1
451812,61,4.68,4
451813,43,3.97,3
451813,75,4.68,2
451813,44,3.97,2
451814,138,3.74,2
451814,127,2.6,1
451814,10,7.52,2
451815,13,10.36,1
451815,51,6.58,2
451815,16,7.52,3
451816,170,2.13,1
451816,52,7.99,2
451817,51,6.58,4
451817,20,7.14,1
451818,90,2.79,2
451818,146,0.47,2
451818,159,2.13,3
451819,146,0.47,1
451819,11,11.31,4
451819,33,7.52,1
451820,21,6.58,2
451820,172,2.6,3
451821,66,2.32,1
451821,178,2.6,3
451821,175,2.6,2
451822,1,10.36,1
451822,92,2.79,1
451822,182,2.6,1
451823,53,6.58,1
451823,154,2.6,2
451823,178,2.6,3
451824,139,6.39,2
451824,142,2.6,1
451825,161,2.32,2
451825,133,4.68,1
451826,71,5.44,2
451826,93,2.79,1
451827,163,1.66,2
451827,37,7.52,3
451828,104,0.95,2
451828,5,10.36,2
451828,67,7.52,1
451829,160,2.13,1
451829,81,5.16,1
451830,154,2.6,1
451830,165,2.32,3
451830,151,2.37,1
451831,128,3.26,1
451831,169,2.6,1
451831,118,9.41,1
451832,116,2.79,2
451832,94,3.07,2
451832,165,2.32,1
451833,77,4.68,1
451833,1,10.36,1
451833,132,7.99,1
451834,95,3.07,1
451834,183,3.55,1
451834,70,6.86,1
451835,118,9.41,1
451835,80,5.16,3
451836,119,3.74,1
451836,83,3.74,2
451836,182,2.6,1
451837,103,2.79,2
451837,129,9.41,2
451837,41,6.58,3
451838,117,3.74,2
451838,85,3.26,1
451838,46,8.47,3
451839,123,3.07,3
451839,149,2.32,1
451839,179,2.13,2
451840,152,2.6,1
451840,183,3.55,1
451840,152,2.6,1
451841,16,7.52,2
451841,90,2.79,1
451841,5,10.36,3
451842,25,8.47,2
451842,178,2.6,1
451843,128,3.26,2
451843,26,8.75,1
451843,157,0.95,1
451844,2,8.47,3
451844,35,7.52,1
451845,109,3.26,2
451845,159,2.13,2
451845,24,8.28,1
451846,167,2.13,2
451846,83,3.74,1
451847,31,7.14,1
451847,170,2.13,1
451847,63,4.97,1
451848,17,7.14,1
451848,154,2.6,2
451848,65,1.42,1
451849,147,0.47,1
451849,154,2.6,1
451850,80,5.16,1
451850,106,0.95,1
451851,7,11.31,2
451851,40,5.63,2
451851,45,3.97,1
451852,67,7.52,1
451852,27,7.81,1
451852,177,2.32,1
451853,120,2.79,2
451853,114,3.55,1
451853,91,2.79,1
451854,138,3.74,2
451854,125,3.26,1
451854,95,3.07,1
451855,58,6.1,2
451855,141,2.79,2
451855,108,2.6,2
451856,165,2.32,1
451856,153,2.6,1
451856,85,3.26,2
451857,99,3.07,2
451857,100,3.07,3
451857,137,2.79,1
451858,132,7.99,1
451858,140,3.26,3
451859,156,0.95,3
451859,76,5.16,3
451859,167,2.13,1
451860,123,3.07,3
451860,145,0.47,2
451860,107,2.79,2
451861,57,7.99,1
451861,3,12.25,2
451861,9,9.41,1
451862,126,2.79,1
451862,70,6.86,1
451862,64,4.68,2
451863,65,1.42,1
451863,35,7.52,3
451863,183,3.55,3
451864,176,2.13,1
451864,105,0.95,1
451864,70,6.86,2
451865,149,2.32,2
451865,76,5.16,1
451865,115,3.55,2
451866,78,1.14,1
451866,114,3.55,1
451866,177,2.32,4
451867,41,6.58,2
451867,141,2.79,3
451867,98,3.07,3
451868,168,2.32,1
451868,29,7.52,2
451868,96,3.07,2
451869,139,6.39,1
451869,142,2.6,2
451870,106,0.95,1
451870,79,3.74,2
451870,133,4.68,2
451871,17,7.14,1
451871,41,6.58,1
451872,54,6.58,3
451872,82,5.16,1
451872,103,2.79,4
451873,77,4.68,2
451873,176,2.13,1
451873,99,3.07,1
451874,80,5.16,1
451874,146,0.47,1
451875,100,3.07,2
451875,92,2.79,2
451875,4,9.89,2
451876,114,3.55,2
451876,56,7.99,3
451876,17,7.14,1
451877,65,1.42,2
451877,134,4.68,1
451878,76,5.16,2
451878,136,9.41,3
451878,107,2.79,1
451879,89,2.79,3
451879,8,9.41,1
451879,18,9.41,1
451880,83,3.74,2
451880,132,7.99,3
451880,82,5.16,1
451881,81,5.16,1
451881,49,8.94,1
451881,12,6.58,1
451882,18,9.41,3
451882,121,6.39,1
451882,4,9.89,3
451883,112,3.26,2
451883,78,1.14,1
451883,71,5.44,1
451884,106,0.95,3
451884,151,2.37,2
451884,27,7.81,3
451885,150,2.6,2
451885,163,1.66,1
451885,154,2.6,2
451886,5,10.36,3
451886,169,2.6,1
451886,26,8.75,3
451887,146,0.47,1
451887,182,2.6,1
451887,2,8.47,3
451888,183,3.55,1
451888,7,11.31,2
451889,9,9.41,1
451889,64,4.68,1
451890,63,4.97,2
451890,122,4.68,3
451891,139,6.39,3
451891,37,7.52,3
451891,183,3.55,4
451892,64,4.68,1
451892,63,4.97,2
451892,171,2.32,1
451893,121,6.39,2
451893,60,5.16,2
451893,66,2.32,1
451894,43,3.97,1
451894,76,5.16,3
451894,69,6.1,2
451895,106,0.95,1
451895,6,8.47,2
451896,107,2.79,1
451896,19,7.52,2
451896,107,2.79,1
451897,184,5.44,1
451897,181,2.6,2
451898,10,7.52,3
451898,60,5.16,2
451898,93,2.79,3
451899,94,3.07,2
451899,149,2.32,1
451899,63,4.97,1
451900,133,4.68,3
451900,51,6.58,1
451900,143,0.47,2
451901,69,6.1,2
451901,102,2.79,2
451901,61,4.68,1
451902,110,2.79,1
451902,18,9.41,2
451902,71,5.44,2
451903,70,6.86,1
451903,161,2.32,1
451903,40,5.63,3
451904,84,5.16,2
451904,16,7.52,1
451904,131,7.99,1
451905,140,3.26,3
451905,14,8.47,2
451905,24,8.28,3
451906,155,2.6,2
451906,143,0.47,2
451907,146,0.47,2
451907,159,2.13,2
451907,14,8.47,1
451908,161,2.32,1
451908,53,6.58,3
451909,110,2.79,2
451909,91,2.79,1
451909,145,0.47,2
451910,35,7.52,3
451910,87,2.79,3
451911,5,10.36,3
451911,168,2.32,1
451911,148,2.13,1
451912,27,7.81,1
451912,136,9.41,3
451912,141,2.79,1
451913,147,0.47,2
451913,81,5.16,1
451913,115,3.55,1
451914,62,6.58,1
451914,35,7.52,2
451914,71,5.44,2
451915,77,4.68,2
451915,31,7.14,2
451916,137,2.79,1
451916,181,2.6,1
451916,65,1.42,1
451917,24,8.28,1
451917,125,3.26,1
451917,149,2.32,2
451918,154,2.6,1
451918,161,2.32,2
451918,16,7.52,1
451919,70,6.86,1
451919,157,0.95,1
451920,95,3.07,1
451920,103,2.79,3
451921,179,2.13,2
451921,99,3.07,2
451921,147,0.47,2
451922,23,9.41,2
451922,130,9.41,1
451922,6,8.47,3
451923,135,8.47,3
451923,154,2.6,1
451923,166,2.6,1
451924,54,6.58,1
451924,160,2.13,1
451924,84,5.16,1
451925,145,0.47,2
451925,108,2.6,2
451925,19,7.52,2
451926,32,7.52,2
451926,115,3.55,1
451927,111,2.6,1
451927,54,6.58,2
451927,81,5.16,1
451928,34,7.33,2
451928,132,7.99,1
451929,48,11.31,2
451929,180,2.32,1
451929,12,6.58,1
451930,119,3.74,2
451930,99,3.07,1
451931,118,9.41,1
451931,137,2.79,1
451931,50,8.47,1
451932,11,11.31,2
451932,181,2.6,2
451932,165,2.32,2
451933,118,9.41,4
451933,143,0.47,3
451933,103,2.79,2
451934,51,6.58,3
451934,148,2.13,1
451935,33,7.52,1
451935,81,5.16,1
451935,147,0.47,2
451936,180,2.32,1
451936,19,7.52,1
451936,133,4.68,2
451937,112,3.26,2
451937,183,3.55,2
451937,139,6.39,2
451938,55,5.16,2
451938,12,6.58,2
451939,76,5.16,1
451939,21,6.58,1
451939,130,9.41,3
451940,176,2.13,1
451940,176,2.13,1
451941,138,3.74,1
451941,37,7.52,3
451942,139,6.39,3
451942,96,3.07,2
